name,ranking,tag_lst,key_major_count,graduate_program_count,doctoral_program_count,is_211,is_985,location_province,location_city,university_type,latitude,longitude
浙江农林大学,206,"['杭州市', '浙江省教育厅', '林业院校']",0,40,1,False,False,浙江省,杭州市,林业院校,30.25878988002757,119.73618263105823
沈阳药科大学,207,"['沈阳市', '辽宁省教育厅', '医药院校']",1,46,19,False,False,辽宁省,沈阳市,医药院校,41.77410004173247,123.45126457441775
辽宁师范大学,208,"['大连市', '辽宁省教育厅', '师范院校']",0,126,32,False,False,辽宁省,大连市,师范院校,38.92429547008045,121.57026188400476
云南师范大学,209,"['昆明市', '云南省教育厅', '师范院校']",0,156,8,False,False,云南省,昆明市,师范院校,25.061451224345106,102.70293457563457
安徽工业大学,210,"['马鞍山市', '安徽省教育厅', '工科院校']",0,78,8,False,False,安徽省,马鞍山市,工科院校,31.697701540042196,118.52069685398703
广州医科大学,211,"['广州市', '广东省教育厅', '医药院校']",1,4,1,False,False,广东省,广州市,医药院校,23.050467639353297,113.43231561547988
重庆工商大学,212,"['重庆市', '重庆市教育委员会', '财经院校']",0,51,,False,False,重庆市,重庆市,财经院校,29.508617976856407,106.57370247446362
南昌航空大学,213,"['南昌市', '江西省教育厅', '工科院校']",1,94,2,False,False,江西省,南昌市,工科院校,28.662581522021902,115.83531869626697
福建医科大学,214,"['福州市', '福建省教育厅', '医药院校']",0,45,12,False,False,福建省,福州市,医药院校,26.075404768733012,119.30649712810764
内蒙古科技大学,215,"['包头市', '内蒙古自治区教育厅', '综合院校']",0,48,1,False,False,内蒙古省,包头市,综合院校,40.62636600432158,109.83929301394976
聊城大学,216,"['聊城市', '山东省教育厅', '综合院校']",0,93,,False,False,山东省,聊城市,综合院校,36.44049702552565,116.00224076351672
烟台大学,217,"['烟台市', '山东省教育厅', '综合院校']",0,134,1,False,False,山东省,烟台市,综合院校,37.48188270083766,121.46486181207747
宁夏大学,218,"['211', '银川市', '宁夏回族自治区教育厅', '综合院校']",2,178,28,True,False,宁夏省,银川市,综合院校,38.50935618095539,106.15131779867602
上海海洋大学,219,"['上海市', '上海市教育委员会', '农业院校']",1,55,24,False,False,上海市,上海市,农业院校,30.889078809257764,121.90331197555948
延边大学,220,"['211', '延边朝鲜族自治州', '吉林省教育厅', '综合院校']",1,149,50,True,False,吉林省,延边朝鲜族自治州,综合院校,42.91823126295649,129.49485168612685
江苏科技大学,221,"['镇江市', '江苏省教育厅', '工科院校']",0,103,1,False,False,江苏省,镇江市,工科院校,31.90240679263743,120.5788119740027
上海海事大学,222,"['上海市', '上海市教育委员会', '工科院校']",1,75,19,False,False,上海市,上海市,工科院校,31.2465568350405,121.54203200453985
南京财经大学,223,"['南京市', '江苏省教育厅', '财经院校']",0,89,1,False,False,江苏省,南京市,财经院校,32.09148950349372,118.76776725060414
中南林业科技大学,224,"['长沙市', '湖南省教育厅', '林业院校']",3,84,32,False,False,湖南省,长沙市,林业院校,28.137635625716246,113.00123299461092
桂林电子科技大学,225,"['桂林市', '广西壮族自治区教育厅', '工科院校']",0,41,21,False,False,广西省,桂林市,工科院校,25.289902190309398,110.34413108515007
河南工业大学,226,"['郑州市', '河南省教育厅', '工科院校']",0,108,3,False,False,河南省,郑州市,工科院校,34.74861250651014,113.63330870314883
河北科技大学,227,"['石家庄市', '河北省教育厅', '工科院校']",0,93,,False,False,河北省,石家庄市,工科院校,37.988897844765766,114.52366456868569
安徽农业大学,228,"['合肥市', '安徽省教育厅', '农业院校']",4,71,32,False,False,安徽省,合肥市,农业院校,31.868278845350797,117.26340816051737
华北理工大学,229,"['唐山市', '河北省教育厅', '综合院校']",0,19,3,False,False,河北省,唐山市,综合院校,39.21083979255996,118.59930972509844
青岛农业大学,230,"['青岛市', '山东省教育厅', '农业院校']",0,78,,False,False,山东省,青岛市,农业院校,36.32702863126965,120.40410844045559
北京工商大学,231,"['北京市', '北京市教育委员会', '财经院校']",0,51,3,False,False,北京市,北京市,财经院校,39.931202719594296,116.3255742436922
鲁东大学,232,"['烟台市', '山东省教育厅', '综合院校']",0,99,1,False,False,山东省,烟台市,综合院校,37.52612340485929,121.36681095718842
西南民族大学,233,"['成都市', '国家民族事务委员会', '民族院校']",3,100,7,False,False,四川省,成都市,民族院校,30.569752391571402,103.97970168764408
北京联合大学,234,"['北京市', '北京市教育委员会', '综合院校']",0,22,,False,False,北京市,北京市,综合院校,39.99648008149265,116.43344564390799
广西医科大学,235,"['南宁市', '广西壮族自治区教育厅', '医药院校']",1,48,17,False,False,广西省,南宁市,医药院校,22.803456921592833,108.35729866394068
沈阳农业大学,236,"['沈阳市', '辽宁省教育厅', '农业院校']",3,62,26,False,False,辽宁省,沈阳市,农业院校,41.83273858553914,123.57625049120965
大连医科大学,237,"['大连市', '辽宁省教育厅', '医药院校']",1,70,41,False,False,辽宁省,大连市,医药院校,38.810167054418436,121.32137996449624
重庆师范大学,238,"['重庆市', '重庆市教育委员会', '师范院校']",0,86,,False,False,重庆市,重庆市,师范院校,29.56284440953482,106.46318457642137
集美大学,239,"['厦门市', '福建省教育厅', '综合院校']",0,56,2,False,False,福建省,厦门市,综合院校,24.58848001575901,118.10102898499028
东北石油大学,240,"['大庆市', '黑龙江省教育厅', '工科院校']",1,89,19,False,False,黑龙江省,大庆市,工科院校,46.59827350223174,125.15561170370503
桂林理工大学,241,"['桂林市', '广西壮族自治区教育厅', '工科院校']",0,56,8,False,False,广西省,桂林市,工科院校,25.288636244565744,110.32123920652465
浙江中医药大学,242,"['杭州市', '浙江省教育厅', '医药院校']",0,23,5,False,False,浙江省,杭州市,医药院校,30.091653237814864,119.89581699984491
湖南工业大学,243,"['株洲市', '湖南省教育厅', '工科院校']",0,98,24,False,False,湖南省,株洲市,工科院校,27.835506570969144,113.1786484226035
渤海大学,244,"['锦州市', '辽宁省教育厅', '综合院校']",0,32,,False,False,辽宁省,锦州市,综合院校,41.092888850954324,121.12325607918464
西华师范大学,245,"['南充市', '四川省教育厅', '师范院校']",0,43,,False,False,四川省,南充市,师范院校,30.82074855790063,106.07670849556149
浙江财经大学,246,"['杭州市', '浙江省教育厅', '财经院校']",0,86,,False,False,浙江省,杭州市,财经院校,30.28411600842315,120.14920499945258
广东医科大学,247,"['湛江市', '广东省教育厅', '医药院校']",0,52,19,False,False,广东省,湛江市,医药院校,22.92975930205933,113.87142127234746
兰州交通大学,248,"['兰州市', '甘肃省教育厅', '工科院校']",10,130,39,False,False,甘肃省,兰州市,工科院校,36.111419264141766,103.73176101264893
内蒙古农业大学,249,"['呼和浩特市', '内蒙古自治区教育厅', '农业院校']",3,99,49,False,False,内蒙古省,呼和浩特市,农业院校,40.81162423110976,111.71044192173214
首都经济贸易大学,250,"['北京市', '北京市教育委员会', '财经院校']",0,45,15,False,False,北京市,北京市,财经院校,39.84661908376371,116.32375104282916
甘肃农业大学,251,"['兰州市', '甘肃省教育厅', '农业院校']",1,62,22,False,False,甘肃省,兰州市,农业院校,36.0965638627459,103.70658698886785
重庆交通大学,252,"['重庆市', '重庆市教育委员会', '工科院校']",0,55,13,False,False,重庆市,重庆市,工科院校,29.65925719891873,106.54271560556826
广东财经大学,253,"['广州市', '广东省教育厅', '财经院校']",0,65,14,False,False,广东省,广州市,财经院校,23.096687825369884,113.36087247998942
黑龙江中医药大学,254,"['哈尔滨市', '黑龙江省教育厅', '医药院校']",0,28,17,False,False,黑龙江省,哈尔滨市,医药院校,45.73255458561997,126.6548051777966
中央音乐学院,255,"['211', '北京市', '教育部', '艺术院校']",1,1,1,True,False,北京市,北京市,艺术院校,39.90829689601949,116.36560336603068
安徽理工大学,256,"['淮南市', '安徽省教育厅', '工科院校']",68,68,19,False,False,安徽省,淮南市,工科院校,32.558080399200925,117.02623978553676
吉首大学,257,"['湘西土家族苗族自治州', '湖南省教育厅', '综合院校']",0,96,3,False,False,湖南省,湘西土家族苗族自治州,综合院校,28.293268519780767,109.73138782411085
新疆医科大学,258,"['乌鲁木齐市', '新疆维吾尔自治区教育厅', '医药院校']",8,73,28,False,False,新疆省,乌鲁木齐市,医药院校,43.84327967191489,87.58619305115377
华东交通大学,259,"['南昌市', '江西省教育厅', '工科院校']",0,113,8,False,False,江西省,南昌市,工科院校,28.749703023373918,115.87634098516374
西安科技大学,260,"['西安市', '陕西省教育厅', '工科院校']",1,76,26,False,False,陕西省,西安市,工科院校,34.23291403164528,108.98486200270683
吉林农业大学,262,"['长春市', '吉林省教育厅', '农业院校']",0,51,17,False,False,吉林省,长春市,农业院校,43.816805381540135,125.41704071512956
天津中医药大学,263,"['天津市', '天津市教育委员会', '医药院校']",2,25,25,False,False,天津市,天津市,医药院校,38.95894547905747,117.07763471834024
贵州师范大学,264,"['贵阳市', '贵州省教育厅', '师范院校']",0,108,4,False,False,贵州省,贵阳市,师范院校,26.594790148588235,106.72911507679372
